Subject Work Classification,Date Cited,
autobiography,2010,creative prose works
autobiography,2010,creative prose works
criticism,1950,critical prose works
criticism,1980,critical prose works
fiction,2010,creative prose works
manuscript note,1950,critical prose works
manuscript note,1980,critical prose works
manuscript note,1950,critical prose works
manuscript note,1980,critical prose works
novel,1950,creative prose works
novel,1950,creative prose works
novel,1950,creative prose works
novel,1950,creative prose works
novel,1950,creative prose works
novel,1950,creative prose works
novel,1980,creative prose works
novel,1980,creative prose works
novel,1980,creative prose works
novel,1980,creative prose works
novel,1980,creative prose works
novel,1980,creative prose works
novel,2010,creative prose works
novel,2010,creative prose works
novel,2010,creative prose works
novel,2010,creative prose works
poetic cycle,2010,works of poetry
poetry,1950,works of poetry
poetry,1950,works of poetry
poetry,1950,works of poetry
poetry,1950,works of poetry
poetry,1980,works of poetry
poetry,1980,works of poetry
poetry,1980,works of poetry
poetry,1980,works of poetry
poetry,2010,works of poetry
poetry,2010,works of poetry
poetry,2010,works of poetry
prose,1950,creative prose works
prose,1950,creative prose works
prose,1950,creative prose works
prose,1950,creative prose works
prose,1950,creative prose works
prose,1950,creative prose works
prose,1950,creative prose works
prose,1950,creative prose works
prose,1950,creative prose works
prose,1980,creative prose works
prose,1980,creative prose works
prose,1980,creative prose works
prose,1980,creative prose works
prose,1980,creative prose works
prose,1980,creative prose works
prose,1980,creative prose works
prose,1980,creative prose works
prose,1980,creative prose works
prose,2010,creative prose works
prose,2010,creative prose works
prose,2010,creative prose works
prose,2010,creative prose works
prose,2010,creative prose works
short story,1950,creative prose works
short story,1980,creative prose works
short story,2010,creative prose works
short story,2010,creative prose works
source study,1950,critical prose works
source study,1980,critical prose works
translation,1950,critical prose works
translation,1980,critical prose works
